paper_id,keyword,type,context
177,Code Integration Latency,Metric,The delay between code creation and integration was tracked as a performance metric.
177,Case Study,Evaluation Method,A case study was conducted on the CREATE program under DoD.
183,Automation,Success Factor,Automation is ranked highest among success factors using PROMETHEE-II.
183,Continuous Integration,Success Factor,CI is evaluated as a key factor contributing to DevOps success.
183,Infrastructure as Code,Success Factor,"IaC enables consistent environments, improving DevOps outcomes."
183,Monitoring and Feedback,Success Factor,Identified as crucial for continuous learning and improvement.
183,Collaboration,Success Factor,Effective collaboration among teams influences DevOps adoption.
183,Organizational Culture,Success Factor,Culture supporting openness and experimentation aids success.
183,Top Management Support,Success Factor,Leadership support enables sustained investment and alignment.
183,Training and Skill Development,Success Factor,Upskilling team members facilitates tool and practice adoption.
183,Security Integration,Success Factor,Embedding security early improves compliance and resilience.
183,PROMETHEE-II,Evaluation Method,Used to prioritize DevOps success factors based on decision-making criteria.
183,Preference Ranking,Criterion,Factors were ranked using a multi-criteria decision-making approach.
183,Relative Importance Score,Metric,Each factor received a normalized score for comparison.
185,Deployment Frequency,Metric,Deployment frequency is cited as a key DevOps performance metric.
185,Lead Time,Metric,Lead time is frequently used to assess delivery performance.
185,Change Failure Rate,Metric,Change failure rate is noted as an indicator of deployment quality.
185,Mean Time to Recovery (MTTR),Metric,MTTR measures operational stability after failure.
185,Code Quality,Metric,Code quality is discussed in terms of maintainability and readability.
185,Security Metrics,Metric,"Security-related metrics are mentioned, especially for DevSecOps."
185,Customer Satisfaction,Metric,Used as a high-level business metric to evaluate DevOps impact.
185,Bibliometric Analysis,Evaluation Method,A bibliometric study was conducted to categorize DevOps metrics research.
185,Citation Frequency,Criterion,Metrics were analyzed based on how frequently they appeared in published research.
196,Engineering Effectiveness Model,Evaluation Method,Model calculates the productivity gain from platform engineers in large orgs.
196,Service Level Objectives (SLOs),Metric,Used by SREs to measure system reliability goals.
196,Standardization,Criterion,Critical to boosting engineering effectiveness across all teams.
200,Deployment Frequency,Metric,One of the most important DevOps metrics measuring how often new releases are deployed.
200,Lead Time for Changes,Metric,Measures the time it takes for a committed code to reach production.
200,Change Failure Rate,Metric,Percentage of changes that result in failure in production.
200,Mean Time to Recovery (MTTR),Metric,Measures the average time to recover from a production failure.
200,Stability Metrics,Metric,Includes MTTR and Change Failure Rate.
200,Velocity Metrics,Metric,Includes Deployment Frequency and Lead Time.
200,DORA Metrics,Criterion,The paper refers to DORA's four key metrics as a DevOps industry standard.
200,Survey and Industry Reports,Evaluation Method,Metrics discussed are backed by large-scale survey results such as the State of DevOps report.
200,Benchmarking,Evaluation Method,Teams compare their DevOps performance against industry benchmarks.
207,Toolchain Integration,Success Factor,Toolchain integration was identified as a critical factor in addressing DevOps challenges.
207,Automation,Success Factor,Automation reduces human error and accelerates delivery in DevOps pipelines.
207,Monitoring,Success Factor,Continuous monitoring supports proactive issue resolution.
207,Collaboration,Success Factor,Effective communication across teams reduces delivery bottlenecks.
207,Cultural Change,Success Factor,Shifting team mindset is essential for successful DevOps adoption.
207,Security Integration,Success Factor,Incorporating security early ensures compliance and risk mitigation.
207,Training and Skill Development,Success Factor,Upskilling is required to keep pace with evolving tools and practices.
207,Infrastructure as Code,Success Factor,IaC enhances consistency and enables automated deployments.
207,Analytical Hierarchy Process (AHP),Evaluation Method,Used to rank DevOps challenges based on expert feedback.
207,Relative Weight,Metric,Each factor was assigned a weight based on AHP prioritization.
207,Decision Hierarchy,Criterion,The hierarchy model structures DevOps challenges for analysis.
216,DoD Test and Evaluation Environment,Criterion,The study is conducted in the context of U.S. Department of Defense T&E systems.
216,Case Study,Evaluation Method,A case study demonstrates STAT application in an operational test.
224,Capability Maturity Model,Maturity Model,A grounded capability maturity framework is proposed based on qualitative data.
224,Grounded Theory,Evaluation Method,The framework was derived using grounded theory methodology.
224,Qualitative Interviews,Evaluation Method,Semi-structured interviews were conducted with industry practitioners.
224,Organizational Learning,Success Factor,Organizations that learn from feedback can improve sustainability outcomes.
224,Stakeholder Alignment,Success Factor,Aligning stakeholders is key to embedding sustainable practices.
224,Socio-Technical System,Criterion,The paper evaluates software development as an interplay between social and technical systems.
234,Decision-Making Framework,Evaluation Method,The paper proposes a structured framework to guide DevOps decisions.
234,Stakeholder Involvement,Success Factor,Active participation of stakeholders is essential for DevOps adoption.
234,Cultural Transformation,Success Factor,Organizational culture change is a key enabler of DevOps.
234,Collaboration,Success Factor,Effective collaboration between teams facilitates continuous delivery.
234,Metrics and KPIs,Criterion,The framework emphasizes monitoring KPIs to evaluate progress.
234,Organizational Readiness,Criterion,The framework includes assessing readiness for DevOps adoption.
234,Framework Validation,Evaluation Method,The framework was validated through expert evaluation and literature review.
239,DevOps Success Factors,Success Factor,The paper identifies multiple success factors for effective DevOps adoption from literature.
239,Systematic Literature Review,Evaluation Method,A systematic review was conducted to collect and analyze primary studies.
239,Toolchain Integration,Success Factor,Integration of tools across development and operations was frequently cited.
239,Automation,Success Factor,"Automation of testing, deployment, and infrastructure is critical for DevOps success."
239,Collaboration,Success Factor,Cross-functional collaboration is a key enabler of DevOps.
239,Cultural Change,Success Factor,Organizational culture was noted as a primary influencing factor.
239,Top Management Support,Success Factor,Leadership involvement was emphasized across multiple studies.
239,Training and Education,Success Factor,Continuous learning is vital for tool and process adoption.
239,Categorization Framework,Evaluation Method,A framework was developed to categorize success factors.
248,Deployment Frequency,Metric,One of the most commonly cited DevOps metrics used to track release frequency.
248,Lead Time for Changes,Metric,Measures time taken from code commit to production release.
248,Change Failure Rate,Metric,Indicates the proportion of failed deployments.
248,Mean Time to Recovery (MTTR),Metric,Tracks time needed to restore service after a failure.
248,Customer Satisfaction,Metric,High-level outcome metric related to product quality and delivery speed.
248,Cycle Time,Metric,Measures time taken to complete a development cycle.
248,Availability,Metric,Used to monitor system uptime and reliability.
248,Code Quality,Metric,Metric associated with static code analysis and maintainability.
248,Security Metrics,Metric,Includes vulnerability scanning and security compliance indicators.
248,Multivocal Literature Review,Evaluation Method,Used to gather insights from both academic and grey literature.
248,DORA Metrics,Criterion,"Deployment frequency, lead time, MTTR, and change failure rate were frequently cited as standard metrics."
248,Practitioner Reports,Evaluation Method,Industry reports were used to validate and enrich academic findings.
248,Metric Categorization Framework,Evaluation Method,Framework created to classify metrics by category and scope.
249,Critical Success Factors,Success Factor,The study identifies a taxonomy of critical success factors (CSFs) for DevOps.
249,Multivocal Literature Review,Evaluation Method,The paper combines academic and grey literature sources to identify CSFs.
249,Automation,Success Factor,"Automation of testing, deployment, and provisioning is identified as a key CSF."
249,Organizational Culture,Success Factor,A collaborative and trust-based culture is foundational to DevOps.
249,Collaboration,Success Factor,Effective communication between Dev and Ops teams is critical.
249,Leadership Support,Success Factor,Management commitment is essential to resource allocation and transformation.
249,Training and Knowledge Sharing,Success Factor,Skill development and internal learning contribute to successful DevOps.
249,Tool Integration,Success Factor,Integration across the DevOps toolchain streamlines delivery.
250,Readiness Model for COSD (RMCOSD),Maturity Model,A model designed to evaluate readiness levels for outsourced DevOps software development.
250,Capability Maturity Model Integration (CMMI),Maturity Model,Used as a reference structure to design the RMCOSD readiness levels.
250,Critical Success Factors (CSFs),Success Factor,Key elements that influence the success of COSD adoption.
250,Critical Barriers (CBs),Success Factor,Key obstacles to successful COSD implementation.
250,Systematic Literature Review (SLR),Evaluation Method,Used to identify success factors and challenges in the literature.
250,Questionnaire Survey,Evaluation Method,Employed to gather data from industry experts about COSD practices.
250,Case Study,Evaluation Method,Proposed for validating the RMCOSD model in a real-world setting.
251,In 28th International Conference on Evaluation and Assessment in Software,Evaluation Method,In 28th International Conference on Evaluation and Assessment in Software
251,"best practices, it did not explore the challenges and success factors",Success Factor,"best practices, it did not explore the challenges and success factors"
251,"4) environment to adopt DevOps culture, and 5) assessment and",Evaluation Method,"4) environment to adopt DevOps culture, and 5) assessment and"
251,there is a lack of assessment models and hands-on DevOps-based,Evaluation Method,there is a lack of assessment models and hands-on DevOps-based
251,"prehend the primary challenges, success factors, and best practices",Success Factor,"prehend the primary challenges, success factors, and best practices"
251,"existing literature to pinpoint key challenges, success factors, and",Success Factor,"existing literature to pinpoint key challenges, success factors, and"
252,inclusion and exclusion criteria,Criterion,inclusion and exclusion criteria
252,directly examined impediments and critical success factors,Success Factor,directly examined impediments and critical success factors
252,reviews and meta-analyses of studies that evaluate healthcare,Evaluation Method,reviews and meta-analyses of studies that evaluate healthcare
252,the 22nd International Conference on Evaluation and Assessment in,Evaluation Method,the 22nd International Conference on Evaluation and Assessment in
252,Understanding DevOps critical success factors,Success Factor,Understanding DevOps critical success factors
254,Capability Maturity Model Integration (CMMI),Maturity Model,Referenced model for assessing maturity in DevOps environments.
254,CALMS,Maturity Model,"Culture, Automation, Lean, Measurement, Sharing – foundational DevOps maturity model."
254,HP ,Maturity Model,One of the examined industry maturity models.
254,Eficode ,Maturity Model,Industry-specific DevOps maturity model focusing on pipelines.
254,Measurement,Criterion,Measurement is identified as one of the dimensions of maturity.
254,Culture,Criterion,Organizational culture is a key dimension for assessing maturity.
254,Automation,Criterion,Automation of processes is used as a metric of maturity.
254,Lean Processes,Criterion,Lean thinking and waste reduction are considered in maturity evaluation.
254,Sharing,Criterion,Collaboration and sharing culture are part of maturity measurement.
254,Assessment Methods,Evaluation Method,Qualitative and quantitative approaches used to assess maturity.
256,The inclusion criteria for the articles in this research,Criterion,The inclusion criteria for the articles in this research
256,ARTICLE INCLUSION CRITERIA,Criterion,ARTICLE INCLUSION CRITERIA
256,Assessment of Reflective Measurement Model,Evaluation Method,Assessment of Reflective Measurement Model
256,The reflective measurement model was evaluated first to,Evaluation Method,The reflective measurement model was evaluated first to
256,Inclusion Criteria,Criterion,Inclusion Criteria
256,"Larcker criterion, and Heterotrait-Monotrait ratios (HTMT)",Criterion,"Larcker criterion, and Heterotrait-Monotrait ratios (HTMT)"
256,Assessment of Structural Model,Evaluation Method,Assessment of Structural Model
256,the measurement model was to evaluate the structural model,Evaluation Method,the measurement model was to evaluate the structural model
256,reviews and meta-analyses of studies that evaluate healthcare,Evaluation Method,reviews and meta-analyses of studies that evaluate healthcare
256,International Conference on Evaluation and Assessment in Software,Evaluation Method,International Conference on Evaluation and Assessment in Software
258,"absence of a well-defined metric, software performance can",Metric,"absence of a well-defined metric, software performance can"
258,DevOps and Cloud-related success criteria are compiled after,Criterion,DevOps and Cloud-related success criteria are compiled after
258,and contrast the outcomes of measuring metrics for Java,Metric,and contrast the outcomes of measuring metrics for Java
258,academics who investigate the metrics for software,Metric,academics who investigate the metrics for software
258,The multi-criteria decision making issues are best resolved by,Criterion,The multi-criteria decision making issues are best resolved by
258,terms of its numerous criterion management and ease of,Criterion,terms of its numerous criterion management and ease of
258,grained metrics with which to anticipate and shape future,Metric,grained metrics with which to anticipate and shape future
258,"management success factors: A decision-making framework"", Software:",Success Factor,"management success factors: A decision-making framework"", Software:"
258,Taxonomy of DevOps Success Factors Using Preference Ranking,Success Factor,Taxonomy of DevOps Success Factors Using Preference Ranking
258,Assessment,Evaluation Method,Assessment
258,"Mittal, ""Performance Assessment of Traditional",Evaluation Method,"Mittal, ""Performance Assessment of Traditional"
258,"management success factors: A decision-making framework"", Software:",Success Factor,"management success factors: A decision-making framework"", Software:"
258,Taxonomy of DevOps Success Factors Using Preference Ranking,Success Factor,Taxonomy of DevOps Success Factors Using Preference Ranking
267,DevSecOps Metrics,Metric,"Security-focused metrics tailored for DevSecOps pipelines, covering shift-left practices."
267,Traceability,Criterion,Used to measure how security defects are tracked throughout the pipeline.
267,Security Coverage,Metric,"Extent to which security tools cover code base, dependencies, and infrastructure."
267,Quality Gates,Criterion,Used to evaluate compliance and code quality at various stages.
267,Compliance Score,Metric,Quantitative indicator of adherence to security policies and regulations.
272,Capability Maturity Model Integration (CMMI),Maturity Model,Used as the reference model in evaluating DevOps capability maturity.
272,DevOps Capability Maturity Model (DCMM),Maturity Model,Proposed model combining DevOps and CMMI dimensions.
272,Assessment Framework,Evaluation Method,Framework for mapping and evaluating DevOps maturity with CMMI.
272,Measurement,Criterion,Considered a crucial element in assessing DevOps progress.
272,Culture,Criterion,Organizational culture assessed to determine DevOps maturity.
272,Quantitative Analysis,Evaluation Method,Used to analyze metrics and validate mapping results.
282,Maintainability,Metric,One of the quality metrics measured by TerraMetrics.
282,Complexity,Metric,Evaluated to understand the maintainability of Terraform modules.
282,Security,Metric,Quality metric computed based on security-sensitive patterns.
282,IaC Quality Metrics,Metric,Refers to the collection of static code metrics defined for Terraform.
282,Module Reusability,Metric,Analyzed as a quality aspect of Terraform infrastructure modules.
282,Static Code Analysis,Evaluation Method,Used by TerraMetrics to analyze Terraform code quality.
334,Performance Metrics,Metric,Inference latency and throughput used to evaluate recommendation model efficiency.
334,Latency Evaluation,Evaluation Method,ETUDE evaluates average and 95th percentile latency.
334,GPU Resource Utilization,Metric,Measured as part of latency and throughput evaluation.
339,Quantitative Maturity Assessment,Evaluation Method,A method for assessing DevSecOps maturity using metric aggregation.
339,Security Metrics,Metric,Used to evaluate practices such as vulnerability scanning and policy compliance.
339,Security Incident Response Time,Metric,Used to assess responsiveness to detected threats.
339,Security Testing Coverage,Metric,Indicates how comprehensively tests cover potential vulnerabilities.
354,"creation to status updates based on predefined criteria, these",Criterion,"creation to status updates based on predefined criteria, these"
354,"Emerging Trends in Software Metrics, Florence, Italy, 2015, pp",Metric,"Emerging Trends in Software Metrics, Florence, Italy, 2015, pp"
428,License Compliance,Criterion,SBOMs help ensure all software components comply with their respective licenses.
429,Educational Alignment,Criterion,Alignment between DevOps practices in academia and industry expectations.
441,problematic in terms of its management and assessment; in,Evaluation Method,problematic in terms of its management and assessment; in
441,metrics,Metric,metrics
454,DevOps Metrics,Metric,The study systematically identifies DevOps metrics for software development organizations.
454,Deployment Frequency,Metric,Frequency of successful software releases to production.
454,Lead Time for Changes,Metric,"Time taken to implement, test, and release a change."
454,Change Failure Rate,Metric,Percentage of deployments causing a failure in production.
454,Mean Time to Recovery (MTTR),Metric,Time to restore service after a failure.
454,Performance Measurement,Evaluation Method,Assessing software delivery effectiveness via DevOps metrics.
463,Security Metrics Framework,Evaluation Method,Framework used to evaluate DevSecOps performance.
463,Security Score,Metric,Calculated score that reflects project security level based on metric aggregation.
463,Quantitative Security Assessment,Evaluation Method,FOBICS uses numeric scoring to reflect project security.
485,Performance Metrics,Metric,Indicators such as deployment frequency and recovery time.
504,Maturity Assessment,Evaluation Method,Assessing maturity level of BizDevOps practices.
504,International Standards,Criterion,Uses ISO/IEC 330xx and 29110 standards for maturity evaluation.
554,Task Diversity,Criterion,"Evaluating agents across diverse IT scenarios including deployment, remediation, and ticket handling."
554,Benchmarking,Evaluation Method,Standardized evaluation methodology for comparing agent performance.
554,Execution Accuracy,Metric,Measures the correctness of an agent’s actions on IT tasks.
554,Latency,Metric,Time taken to complete a task or respond to an IT event.
554,Success Rate,Metric,Percentage of tasks completed successfully by the agent.
560,Test Coverage,Metric,Percentage of code covered by automated tests.
623,Success Factors,Criterion,Identified elements enabling successful digital transformation in software development.
641,Success Factors,Criterion,Key enablers identified for successful DevOps project outcomes.
641,Decision-Making Framework,Evaluation Method,A structured model to evaluate and prioritize success factors.
641,Multicriteria Decision Making,Evaluation Method,Analytical method used to weigh different project management factors.
641,Performance Metrics,Metric,"Used to assess project efficiency, reliability, and delivery speed."
642,Human Factors,Criterion,"Individual skills, team behavior, and organizational culture affecting security."
642,Maturity Model,Evaluation Method,Framework to assess the development of people capabilities.
643,Systematic Literature Review,Evaluation Method,A structured analysis of existing research on DevOps maturity.
643,Maturity Model,Evaluation Method,Frameworks used to evaluate DevOps practices across maturity levels.
643,People,Criterion,"Skills, mindset, and collaboration among DevOps teams."
643,Process,Criterion,"DevOps workflows, practices, and governance mechanisms."
643,Technology,Criterion,Tooling and infrastructure enabling DevOps maturity.
643,Capability Maturity Model Integration (CMMI),Maturity Model,One of the referenced models for assessing maturity.
643,Assessment Criteria,Criterion,Key dimensions used to evaluate maturity across models.
643,Success Factors,Criterion,Enablers that drive DevOps maturity and transformation.
643,Radstaak,Maturity Model,"levels are Initial, Managed, Defined, Quantitatively Managed, Optimizing"
643,neubrand,Maturity Model,"The Neubrand DevOps Maturity Model comprises 5 maturity levels and evaluates DevOps practices using six main dimensions: Culture, People, Process, Technology, Monitoring, and Quality."
670,ready-to-use tools that allow developers to test and evaluate,Evaluation Method,ready-to-use tools that allow developers to test and evaluate
670,test and evaluate their functionalities,Evaluation Method,test and evaluate their functionalities
670,"Then, we evaluate an IIoT",Evaluation Method,"Then, we evaluate an IIoT"
670,"becomes key to evaluate them in a comparable environment,",Evaluation Method,"becomes key to evaluate them in a comparable environment,"
670,their assessment within the Near-RT RIC framework,Evaluation Method,their assessment within the Near-RT RIC framework
670,evaluates the platform utilizing metrics such as session estab-,Metric,evaluates the platform utilizing metrics such as session estab-
670,Our study introduces an assessment framework for xApps,Evaluation Method,Our study introduces an assessment framework for xApps
